2021-10-23 15:43:15.529465: pb-IF4xJ2ok | message 2
2021-10-23 15:49:25.181649: pb-JiNJARBaXEFBVF9HFkNXXF1EF0ZaRlZE | hi testing chat logger ..smoothy
2021-10-23 15:53:18.720181: pb-JiNJARBaXEFBVF9HFkNXXF1EF0ZaRlZE | testing logger 2
2021-10-23 15:53:21.328814: pb-JiNJARBaXEFBVF9HFkNXXF1EF0ZaRlZE | 3
2021-10-23 15:53:23.536746: pb-JiNJARBaXEFBVF9HFkNXXF1EF0ZaRlZE | 4
2021-10-23 15:53:26.750919: pb-JiNJARBaXEFBVF9HFkNXXF1EF0ZaRlZE | 5
2021-10-23 15:53:31.449340: pb-JiNJARBaXEFBVF9HFkNXXF1EF0ZaRlZE | 6
2021-10-23 15:53:34.357371: pb-JiNJARBaXEFBVF9HFkNXXF1EF0ZaRlZE | 7
2021-10-23 15:53:38.152627: pb-JiNJARBaXEFBVF9HFkNXXF1EF0ZaRlZE | 8
2021-10-23 15:53:41.077009: pb-JiNJARBaXEFBVF9HFkNXXF1EF0ZaRlZE | 9
2021-11-25 22:15:06.477416: pb-IF5XUm9eAg== | ohh fuck
2021-11-25 22:15:10.409848: pb-IF5XUm9eAg== | shit
2021-11-25 22:15:14.275920: pb-IF5XUm9eAg== | bye
2021-11-25 22:15:16.296385: pb-IF5XUm9eAg== | no
2021-11-25 22:15:21.839111: pb-IF5XUm9eAg== | no
2021-11-25 22:15:24.687210: pb-IF5XUm9eAg== | fuck
2021-11-25 22:15:27.920635: pb-IF5XUm9eAg== | fuck
2021-11-25 22:15:30.901683: pb-IF5XUm9eAg== | uck
2021-11-25 22:15:33.372142: pb-IF5XUm9eAg== | fuck
2021-11-25 22:15:36.348450: pb-IF5XUm9eAg== | fuck
2021-11-25 22:15:39.339904: pb-IF5XUm9eAg== | okokoko
2021-12-31 00:45:25.857016: pb-IF4SCnRZ | gcuser1578447208313|1n ✶❘❑Mina❑❘✶| Hi!
2021-12-31 00:58:24.313174: pb-IF4jUnIqVw== | RedheadedEminence26|RedheadedEminence26| 
2021-12-31 03:12:48.176489: pb-IF4HVEEiKA== | Ghostyrippp|GhostyRip| 
2021-12-31 04:26:01.006819: pb-IF43VXQCPQ== | Maddox2301|Rico| la verdad no estoy jugando pa ra ganar
2021-12-31 05:03:25.356750: pb-JiNJARFfVEBAX15AGEZSUlRDEUhYQlJL | Wesker201500|🔱Dark❇Master🔱| ez af
2021-12-31 05:06:09.786022: pb-IF4PUnIRLw== | Android56642972|YANAN1729@gmail.| 
2021-12-31 05:06:09.961683: pb-IF4PUnIRLw== | Android56642972|YANAN1729@gmail.| 
2021-12-31 05:06:10.916617: pb-IF4PUnIRLw== | Android56642972|YANAN1729@gmail.| 
2021-12-31 05:06:11.095559: pb-IF4PUnIRLw== | Android56642972|YANAN1729@gmail.| 
2021-12-31 05:07:19.500717: pb-IF4PUnIRLw== | Android56642972|YANAN1729@gmail.| 
2021-12-31 05:07:19.717202: pb-IF4PUnIRLw== | Android56642972|YANAN1729@gmail.| 
2021-12-31 09:30:24.531047: pb-IF4rUmMBIA== | MuscularUncle177|MuscularUncle177| 
2021-12-31 10:02:13.886410: pb-IF4-VEIxVg== | ninjacolombo|ninjacolombo| stop
2021-12-31 10:06:30.680464: pb-IF4pIXA6 | sono0incredibile|ಠ_ಠ| u are sad. playing alone for score
2021-12-31 10:06:34.472573: pb-IF4pIXA6 | sono0incredibile|ಠ_ಠ| nvm
2021-12-31 10:06:41.304501: pb-IF4pIXA6 | sono0incredibile|ಠ_ಠ| its ur life
2021-12-31 10:06:53.013920: pb-IF4-VEIxVg== | ninjacolombo|ninjacolombo| me?
2021-12-31 10:06:59.235805: pb-IF4pIXA6 | sono0incredibile|ಠ_ಠ| bye have... fun
2021-12-31 10:07:01.732459: pb-IF4pIXA6 | sono0incredibile|ಠ_ಠ| yes
2021-12-31 10:07:02.682556: pb-IF4pIXA6 | sono0incredibile|ಠ_ಠ| 
2021-12-31 10:49:56.985701: pb-IF4tUnVTKg== | Android56849846|Android56849846| 😅😅😅😅
